id,owner_gender,personality_extraversion_score,personality_stability_score,dog_sex,dog_behavior_bennett_disobedient_score,dog_behavior_bennett_nervous_score,cgc_test
1,Female,2.0,5.0,Male,-0.05,0.14,Pass
2,Female,3.5,4.0,Male,-0.18,0.65,Pass
3,,,,,,,
4,Female,3.0,3.5,Female,0.15,-0.38,Pass
5,,,,,,,
6,Female,4.5,6.0,Female,-0.26,-0.39,
7,Female,3.5,5.0,Female,-0.89,-0.56,
8,,,,,,,Pass
9,Female,4.0,5.5,Male,-0.17,-1.06,Pass
10,Female,2.5,3.5,Male,-0.42,0.82,
11,Female,4.5,4.5,Female,0.53,-0.17,
12,,,,,,,
13,,,,,,,Fail
14,Female,4.5,6.0,Male,-0.26,-0.56,Pass
15,,,,,,,
16,,,,,,,
17,Female,3.0,5.0,Female,0.27,0.33,Pass
18,,,,,,,
19,,,,,,,Pass
20,Male,4.5,5.5,Male,-0.72,-0.02,Fail
21,Female,4.0,5.5,Male,0.02,0.51,Fail
22,Female,4.0,5.5,Female,0.59,1.21,
23,Female,6.0,5.5,Female,-0.99,-0.11,Pass
24,Female,5.0,5.0,Female,0.01,-0.31,Pass
25,Female,4.5,5.0,Male,-0.48,-0.32,
26,Male,2.0,5.0,Male,1.13,0.54,
27,Female,5.0,5.0,Male,-0.29,-0.11,
28,Female,5.0,5.5,Female,-1.18,0.53,Pass
29,,,,,,,Fail
30,Female,5.0,4.5,Female,1.35,2.07,
31,Female,4.0,5.0,Female,-0.07,-0.74,Pass
32,Female,3.5,3.5,Female,-0.02,-0.31,
33,Female,3.0,2.0,Male,-0.3,-0.08,
34,Female,3.5,5.5,Male,-0.64,-0.07,Pass
35,Female,4.5,5.0,Female,0.53,-1.14,Pass
36,Female,3.0,3.5,Female,0.17,0.77,Pass
37,Female,4.0,3.5,Male,-0.43,-1.38,Pass
38,Female,6.0,6.0,Female,0.24,-0.72,
39,Female,2.5,4.0,Male,-0.58,0.54,Pass
40,Female,5.0,5.0,Male,-0.3,-0.72,
41,Female,4.5,6.0,Male,-0.49,0.54,
42,Female,2.0,4.5,Female,0.17,-1.38,Fail
43,Male,3.5,6.0,Male,-0.16,-0.38,
44,Female,5.0,5.0,Female,0.16,0.5,
45,,3.5,5.0,Female,0.16,1.49,
46,Female,4.5,4.5,Female,0.36,0.83,
47,,,,,,,Pass
48,Female,3.5,5.0,Female,-0.37,-1.4,
49,Female,2.0,3.5,Female,0.3,0.32,
50,Female,4.5,3.5,Male,0.0,1.51,Pass
51,Female,3.5,4.0,Male,0.59,-0.72,
52,,,,,,,
53,Female,5.0,5.0,Male,-0.11,0.45,
54,,,,,,,
55,,,,,,,
56,Female,3.5,5.5,Male,-0.38,0.25,
57,Female,3.0,4.0,Female,0.44,0.41,
58,,,,,,,
59,Female,3.0,4.0,Male,0.24,0.48,
60,Female,6.0,5.5,Male,0.46,-1.19,
61,Female,2.5,4.5,Female,-1.04,-0.07,Pass
62,,,,,,,
63,,,,,,,
64,Female,5.0,5.0,Female,0.27,-0.81,
65,Female,5.0,4.0,Male,0.34,-0.09,
66,Female,2.5,5.5,Male,1.23,0.83,
67,Female,3.5,4.5,Female,-1.03,0.31,
68,,,,,,,
69,Female,6.0,3.5,Male,0.74,1.85,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,Female,3.0,4.5,Male,-1.87,-1.57,Pass
76,,,,,,,
77,Female,5.5,5.0,Female,0.66,0.49,
78,Female,4.5,5.5,Female,1.17,-0.7,
79,,,,,,,
80,Female,6.0,5.5,Female,-0.4,-0.92,
81,Female,4.0,4.5,Female,0.99,0.35,
82,,,,,,,
83,Female,5.0,4.5,Male,0.42,0.16,
84,,,,,,,
85,Female,3.0,6.0,Female,-0.2,1.16,
86,Male,5.5,5.5,Female,0.29,-1.06,
87,,,,,,,
88,,,,,,,Fail
89,,,,,,,
90,Female,3.0,6.0,Female,-0.52,0.48,Pass
91,,,,,,,
92,,,,,,,
93,,,,,,,Fail
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,Female,3.5,3.5,Female,0.5,-0.54,Pass
98,Female,4.0,5.0,Female,0.1,0.3,Pass
99,Female,3.0,5.5,Female,0.3,-0.83,Pass
